N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
335.531/2011;15/3/2011 00:00;MONROE AV.;3158;MONROE AV. 3158;039-059-012B;1.9036.80;15/9/2011 00:00;;;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428BMB;-34.56274991355094;-58.46709226774266
341.679/2011;16/3/2011 00:00;CORRALES;6476;CORRALES 6476;082-043-017;118.80;5/8/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA RIACHUELO;COMUNA 8;1439;C1439DBJ;-34.690023108721775;-58.47140025631201
343.150/2011;16/3/2011 00:00;COSTA RICA;4192;COSTA RICA 4192;019-060-016;1597.26;15/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1176;C1176ADF;-34.59164303533688;-58.42226449044097
343.014/2011;16/3/2011 00:00;IBERA;2512;IBERA 2512;041-146-002;831.66;18/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429CML;-34.554224718203244;-58.46573864755393
343.190/2011;16/3/2011 00:00;ALVAREZ, DONATO, TTE. GRAL.;309;ALVAREZ, DONATO, TTE. GRAL. 309;057-041-013F;827.06;3/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;CABALLITO;COMUNA 6;1406;C1406BOB;-34.622191670663774;-58.455560974750945
343.469/2011;16/3/2011 00:00;OLAZABAL;2910;OLAZABAL 2910;039-064-002;35.04;1/7/2011 00:00;;;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428DHY;-34.56309754950488;-58.46315747656185
343.132/2011;16/3/2011 00:00;MACHAIN;4016;MACHAIN 4016;055-167-020;1141.56;13/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1430;C1430DYV;-34.55534221296856;-58.489798224096596
341.643/2011;16/3/2011 00:00;JUSTO, JUAN B. AV.;9586;JUSTO, JUAN B. AV. 9586;093-031-006;1391.83;1/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;LINIERS;COMUNA 9;1408;C1408AKZ;-34.634661602757376;-58.52528988976275
341.643/2011;16/3/2011 00:00;JUSTO, JUAN B. AV.;9586;JUSTO, JUAN B. AV. 9586;093-031-006;1391.83;16/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;LINIERS;COMUNA 9;1408;C1408AKZ;-34.634661602757376;-58.52528988976275
344.726/2011;16/3/2011 00:00;GUATEMALA;5441;GUATEMALA 5441;035-098-028;650.65;28/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425BVE;-34.58145587797258;-58.43047884118093
344.698/2011;16/3/2011 00:00;IBERA;2775;IBERA 2775;041-125-021;783.63;2/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429CMO;-34.55517675958214;-58.467658971406365
344.398/2011;16/3/2011 00:00;LOPEZ, CARLOS ANTONIO;3326;LOPEZ, CARLOS ANTONIO 3326;083-224-004;1898.17;4/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA DEVOTO;COMUNA 11;1419;C1419ETZ;-34.58893299707189;-58.508581945181604
350.701/2011;17/3/2011 00:00;VIEL;1179;VIEL 1179;040-092A-018;506.98;11/7/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PARQUE CHACABUCO;COMUNA 7;1424;C1424BJS;-34.63070452741147;-58.43028999490501
352.418/2011;17/3/2011 00:00;LUGONES;2430;LUGONES 2430;051-085-021;1422.56;17/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1430;C1430EBP;-34.57115775900315;-58.47952572995915
352.630/2011;17/3/2011 00:00;QUESADA;1572;QUESADA 1572;027-093-017A;686.26;7/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429CNB;-34.55003498568114;-58.454931658884
352.630/2011;17/3/2011 00:00;QUESADA;1572;QUESADA 1572;027-093-017A;686.26;27/1/2012 00:00;;;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429CNB;-34.55003498568114;-58.454931658884
352.630/2011;17/3/2011 00:00;QUESADA;1572;QUESADA 1572;027-093-017A;686.26;24/8/2012 00:00;;;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429CNB;-34.55003498568114;-58.454931658884
352.926/2011;17/3/2011 00:00;CAMARONES;3025;CAMARONES 3025;067-022-028A;919.71;23/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA SANTA RITA;COMUNA 11;1416;C1416EDG;-34.61325981947109;-58.482310064770026
354.354/2011;17/3/2011 00:00;LASCANO;5267;LASCANO 5267;087-002B-036;420.43;14/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;MONTE CASTRO;COMUNA 10;1417;C1417HAG;-34.62308413699311;-58.512417651066464
354.354/2011;17/3/2011 00:00;LASCANO;5267;LASCANO 5267;087-002B-036;420.43;31/8/2012 00:00;;;DEMOLICION TOTAL Y OBRA;MONTE CASTRO;COMUNA 10;1417;C1417HAG;-34.62308413699311;-58.512417651066464
353.886/2011;17/3/2011 00:00;GONZALEZ, JOAQUIN V.;1741;GONZALEZ, JOAQUIN V. 1741;079-070-008;314.65;3/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA SANTA RITA;COMUNA 11;1407;C1407DAG;-34.617199173565396;-58.49195642830052
352.341/2011;17/3/2011 00:00;MARMOL, JOSE;1724;MARMOL, JOSE 1724;038-165-009;182.16;27/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;BOEDO;COMUNA 5;1255;C1255ABP;-34.635001506315874;-58.422074692355444
360.942/2011;18/3/2011 00:00;ARCOS;2839;ARCOS 2839;027-037-011;1720.31;22/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429AZA;-34.55347870570993;-58.459761738560154
353.833/2011;17/3/2011 00:00;PINO, VIRREY DEL;4095;PINO, VIRREY DEL 4095;049-083-017D;68.85;26/5/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA ORTUZAR;COMUNA 15;1430;C1430CAM;-34.57597814673263;-58.47071094214953
361.067/2011;18/3/2011 00:00;BONIFACIO, JOSE;3909;BONIFACIO, JOSE 3909;054-133-032;417.06;9/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HEM;-34.63848451204534;-58.47932383700531
352.577/2011;17/3/2011 00:00;CABEZON, JOSE LEON;3208;CABEZON, JOSE LEON 3208;083-253A-002;336.78;14/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA PUEYRREDON;COMUNA 12;1419;C1419FCN;-34.58552764725144;-58.50933994219644
352.451/2011;17/3/2011 00:00;DIRECTORIO AV.;3011;DIRECTORIO AV. 3011;048-021-035;1222.67;9/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406HAG;-34.63596447630852;-58.46931154613359
359.611/2011;18/3/2011 00:00;JUNIN;1747;JUNIN 1747;011-061-015A;1367.34;9/5/2011 00:00;;;OBRA NUEVA;RECOLETA;COMUNA 2;1113;C1113AAS;-34.58880154469386;-58.39261078179568
359.611/2011;18/3/2011 00:00;JUNIN;1747;JUNIN 1747;011-061-015A;1367.34;16/3/2012 00:00;;;OBRA NUEVA;RECOLETA;COMUNA 2;1113;C1113AAS;-34.58880154469386;-58.39261078179568
362.066/2011;18/3/2011 00:00;CAMARGO;718;CAMARGO 718;047-155-031;897.46;1/7/2014 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414AHP;-34.59880969067958;-58.44202578560637
362.216/2011;18/3/2011 00:00;NOGOYA;3633;NOGOYA 3633;081-113-027C;2861.30;8/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA DEL PARQUE;COMUNA 11;1417;C1417FNQ;-34.60632609515014;-58.49782397815133
361.971/2011;18/3/2011 00:00;CONGRESO AV.;5064;CONGRESO AV. 5064;063-129-007;3172.77;17/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431AAS;-34.56961366463517;-58.48976484145015
362.524/2011;18/3/2011 00:00;11 DE SEPTIEMBRE DE 1888;947;11 DE SEPTIEMBRE DE 1888 947;023-019-014;574.62;7/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1426;C1426BKE;-34.56892962226382;-58.441713357904824
363.522/2011;18/3/2011 00:00;MURILLO;677;MURILLO 677;047-134-003;1398.93;4/8/2011 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414AFC;-34.60083664714699;-58.44346390550092
363.522/2011;18/3/2011 00:00;MURILLO;677;MURILLO 677;047-134-003;1398.93;11/7/2012 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414AFC;-34.60083664714699;-58.44346390550092
363.522/2011;18/3/2011 00:00;MURILLO;677;MURILLO 677;047-134-003;1398.93;28/10/2013 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414AFC;-34.60083664714699;-58.44346390550092
363.722/2011;18/3/2011 00:00;ANDALGALA;2147;ANDALGALA 2147;076-082-036;171.00;26/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;MATADEROS;COMUNA 9;1440;C1440ENQ;-34.661053282557;-58.50837595551426
363.916/2011;18/3/2011 00:00;ROOSEVELT FRANKLIN D. AV.;4901;ROOSEVELT FRANKLIN D. AV. 4901;053-002-023A;5762.80;28/12/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431BZC;-34.57232462725564;-58.48510198666444
363.967/2011;18/3/2011 00:00;ALSINA, ADOLFO;863;ALSINA, ADOLFO 863;002-007-009B;1.861,71;2/7/2012 00:00;;;OBRA NUEVA;MONSERRAT;COMUNA 1;1087;C1087AAM;-34.61056833229336;-58.378625679984566
364.130/2011;18/3/2011 00:00;ZAMUDIO;3549;ZAMUDIO 3549;061-134-012A;289.84;26/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;AGRONOMIA;COMUNA 15;1419;C1419EFA;-34.591101942058074;-58.488928258115614
364.130/2011;18/3/2011 00:00;ZAMUDIO;3549;ZAMUDIO 3549;061-134-012A;289.84;2/6/2015 00:00;;;DEMOLICION TOTAL Y OBRA;AGRONOMIA;COMUNA 15;1419;C1419EFA;-34.591101942058074;-58.488928258115614
364.193/2011;18/3/2011 00:00;ARISMENDI;2526;ARISMENDI 2526;061-051-003;176,2;25/7/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;PARQUE CHAS;COMUNA 15;1427;C1427DLD;-34.58339607697425;-58.4749094325091
364.193/2011;18/3/2011 00:00;ARISMENDI;2526;ARISMENDI 2526;061-051-003;176,2;13/11/2012 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;PARQUE CHAS;COMUNA 15;1427;C1427DLD;-34.58339607697425;-58.4749094325091
370.281/2011;21/3/2011 00:00;CORVALAN;1111;CORVALAN 1111;062-080-044;268.10;6/4/2011 00:00;;;OBRA NUEVA;MATADEROS;COMUNA 9;1440;C1440DIM;-34.648826926033095;-58.49692155265846
371.913/2011;21/3/2011 00:00;CATANIA;5664;CATANIA 5664;060-046B-006;226.42;9/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;LINIERS;COMUNA 9;1440;C1440CCF;-34.64582755419878;-58.50331087968314
372.117/2011;21/3/2011 00:00;MENDEZ DE ANDES;1816;MENDEZ DE ANDES 1816;057-026-012;1231.79;24/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406FUJ;-34.61934529217877;-58.45854978238555
372.117/2011;21/3/2011 00:00;MENDEZ DE ANDES;1816;MENDEZ DE ANDES 1816;057-026-012;1231.79;2/1/2012 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406FUJ;-34.61934529217877;-58.45854978238555
372.117/2011;21/3/2011 00:00;MENDEZ DE ANDES;1816;MENDEZ DE ANDES 1816;057-026-012;1231.79;14/8/2012 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406FUJ;-34.61934529217877;-58.45854978238555
371.998/2011;21/3/2011 00:00;ROOSEVELT FRANKLIN D. AV.;4947;ROOSEVELT FRANKLIN D. AV. 4947;053-002-019;3698.67;9/5/2011 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431BZC;-34.57259118234755;-58.4855494968507
371.998/2011;21/3/2011 00:00;ROOSEVELT FRANKLIN D. AV.;4947;ROOSEVELT FRANKLIN D. AV. 4947;053-002-019;3698.67;7/5/2013 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431BZC;-34.57259118234755;-58.4855494968507
372.723/2011;21/3/2011 00:00;RUY DIAZ DE GUZMAN;375;RUY DIAZ DE GUZMAN 375;008-025-022;1378.50;1/6/2011 00:00;MULTIVIVIENDA;R2B I;OBRA NUEVA;BARRACAS;COMUNA 4;1267;C1267ACG;-34.63438681580483;-58.3712005093535
372.723/2011;21/3/2011 00:00;RUY DIAZ DE GUZMAN;375;RUY DIAZ DE GUZMAN 375;008-025-022;1378.50;3/1/2013 00:00;MULTIVIVIENDA;R2B I;OBRA NUEVA;BARRACAS;COMUNA 4;1267;C1267ACG;-34.63438681580483;-58.3712005093535
371.887/2011;21/3/2011 00:00;ARENGREEN;1202;ARENGREEN 1202;057-106-001E;272,94;23/8/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;CABALLITO;COMUNA 6;1405;C1405CYP;-34.613419567233365;-58.449289470572026
371.887/2011;21/3/2011 00:00;ARENGREEN;1202;ARENGREEN 1202;057-106-001E;272,94;23/10/2012 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;CABALLITO;COMUNA 6;1405;C1405CYP;-34.613419567233365;-58.449289470572026
372.644/2011;21/3/2011 00:00;GAONA AV.;3516;GAONA AV. 3516;065-030-002;1711.63;2/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1416;C1416DSX;-34.62078351249097;-58.474555520242944
371.943/2011;21/3/2011 00:00;LACROZE, FEDERICO AV.;3541;LACROZE, FEDERICO AV. 3541;037-015-016;1687,49;4/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;CHACARITA;COMUNA 15;1427;C1427EDA;-34.580918434393;-58.45133292285481
369.455/2011;21/3/2011 00:00;LACROZE, FEDERICO AV.;4166;LACROZE, FEDERICO AV. 4166;049-180-015;2471,55;8/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;CHACARITA;COMUNA 15;1427;C1427EDT;-34.586539354725254;-58.45472145206056
372.708/2011;21/3/2011 00:00;CUCHA CUCHA;1969;CUCHA CUCHA 1969;059-187-012A;481.07;8/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1416;C1416CJQ;-34.601948579552406;-58.45675825240348
379.631/2011;22/3/2011 00:00;PAVON;3154;PAVON 3154;030-011-007;608.50;9/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;SAN CRISTOBAL;COMUNA 3;1253;C1253AAP;-34.628593954672375;-58.40925867563135
379.309/2011;22/3/2011 00:00;DEL LIBERTADOR AV.;5740;DEL LIBERTADOR AV. 5740;025-060-019;7611.29;19/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428ARN;-34.55910551162927;-58.44577790398739
323.253/2011;14/3/2011 00:00;VEDIA;4090;VEDIA 4090;043-012D-004;12951,69;16/11/2011 00:00;;;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1430;C1430DAP;-34.54673654309541;-58.49079769479313
323.253/2011;14/3/2011 00:00;VEDIA;4090;VEDIA 4090;043-012D-004;12951,69;23/2/2015 00:00;;;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1430;C1430DAP;-34.54673654309541;-58.49079769479313
378.743/2011;22/3/2011 00:00;RUCCI, JOSE IGNACIO;4612;RUCCI, JOSE IGNACIO 4612;082-093-021;646.02;19/10/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA LUGANO;COMUNA 8;1439;C1439FWL;-34.68220633605918;-58.47338422366954
380.819/2011;22/3/2011 00:00;QUIRNO;348;QUIRNO 348;048-034-016;2155.53;12/7/2011 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406EZH;-34.63542462691769;-58.46921729845274
380.962/2011;22/3/2011 00:00;BOLAÑOS;310;BOLAÑOS 310;054-119B-013;789.69;6/7/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VELEZ SARSFIELD;COMUNA 10;1407;C1407JPH;-34.63839832987039;-58.48335644226524
381.341/2011;22/3/2011 00:00;URIBURU JOSE E., PRES.;531;URIBURU JOSE E., PRES. 531;009-055-021;3622.57;8/6/2011 00:00;;;OBRA NUEVA;BALVANERA;COMUNA 3;1027;C1027AAK;-34.60287438888853;-58.398380060718594
381.161/2011;22/3/2011 00:00;PIERES;672;PIERES 672;074-143-032;307.2;9/5/2011 00:00;;;OBRA NUEVA;LINIERS;COMUNA 9;1408;C1408HDL;-34.646573595173436;-58.509914215727534
381.738/2011;22/3/2011 00:00;COSTA RICA;5610;COSTA RICA 5610;035-045-002;476.20;6/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1414;C1414BTF;-34.582583865904226;-58.434865540657455
381.222/2011;22/3/2011 00:00;ALVAREZ, DONATO, TTE. GRAL. AV.;2274;ALVAREZ, DONATO, TTE. GRAL. AV. 2274;059-076-020;564.45;1/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PATERNAL;COMUNA 15;1416;C1416BTY;-34.60039693727912;-58.46623072263397
381.222/2011;22/3/2011 00:00;ALVAREZ, DONATO, TTE. GRAL. AV.;2274;ALVAREZ, DONATO, TTE. GRAL. AV. 2274;059-076-020;564.45;20/3/2014 00:00;;;DEMOLICION TOTAL Y OBRA;PATERNAL;COMUNA 15;1416;C1416BTY;-34.60039693727912;-58.46623072263397
382.339/2011;22/3/2011 00:00;BLANCO ENCALADA;3932;BLANCO ENCALADA 3932;051-119-004;0.90;7/6/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA URQUIZA;COMUNA 12;1430;C1430BOJ;-34.56870658906783;-58.47494881310499
383.739/2011;22/3/2011 00:00;GUALEGUAYCHU;1735;GUALEGUAYCHU 1735;079-033A-015;77.94;5/7/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;MONTE CASTRO;COMUNA 10;1407;C1407ALK;-34.61948343781563;-58.49667018526508
384.219/2011;22/3/2011 00:00;VUELTA DE OBLIGADO;3815;VUELTA DE OBLIGADO 3815;029-016-012;92.46;2/5/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;NUÑEZ;COMUNA 13;1429;C1429AVU;-34.54660160799134;-58.46830302361498
383.344/2011;22/3/2011 00:00;MOSCONI GENERAL AV.;3175;MOSCONI GENERAL AV. 3175;073-007B-017;2593.47;11/10/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA PUEYRREDON;COMUNA 12;1419;C1419EQK;-34.58840552440649;-58.505885534648115
383.408/2011;22/3/2011 00:00;MANZANARES;3545;MANZANARES 3545;043-045-017;136.36;17/5/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;SAAVEDRA;COMUNA 12;1430;C1430AEC;-34.55266196783046;-58.47970500849931
14.386.009/2017;22/3/2011 00:00;VIAMONTE;641;VIAMONTE 641;001-024-022;1013.08;22/3/2011 15:43;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;;;;;;
14.386.009/2017;22/3/2011 00:00;VIAMONTE;641;VIAMONTE 641;001-024-022;1013.08;6/7/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;SAN NICOLAS;COMUNA 1;1053;C1053ABM;-34.59987517090966;-58.37603488582357
390.039/2011;23/3/2011 00:00;MONROE;1040;MONROE 1040;025-101-007;230,57;22/6/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;BELGRANO;COMUNA 13;1428;C1428BKH;-34.55003234847969;-58.44588892436091
390.656/2011;23/3/2011 00:00;ALVAREZ JONTE AV.;5553;ALVAREZ JONTE AV. 5553;093-147A-025B;663,9;21/11/2011 00:00;;;OBRA NUEVA;MONTE CASTRO;COMUNA 10;1407;C1407GPJ;-34.62649036284227;-58.514218793505314
392.646/2011;23/3/2011 00:00;SANTANDER;3915;SANTANDER 3915;056-066-045;135,02;15/4/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HYM;-34.65595575548622;-58.46706112879339
392.866/2011;23/3/2011 00:00;DONADO;3898;DONADO 3898;055-179-001;239,07;15/6/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;SAAVEDRA;COMUNA 12;1430;C1430DSZ;-34.55606996017567;-58.4880336910929
393.012/2011;23/3/2011 00:00;VIRGILIO;690;VIRGILIO 690;091-085-009;285,76;13/6/2011 00:00;UNIVIVIENDA;R2B II;DEMOLICION TOTAL Y OBRA;VILLA LURO;COMUNA 10;1407;C1407BQL;-34.63177409915232;-58.503825109670686
393.012/2011;23/3/2011 00:00;VIRGILIO;690;VIRGILIO 690;091-085-009;285,76;20/5/2013 00:00;UNIVIVIENDA;R2B II;DEMOLICION TOTAL Y OBRA;VILLA LURO;COMUNA 10;1407;C1407BQL;-34.63177409915232;-58.503825109670686
393.192/2011;23/3/2011 00:00;PALPA;2964;PALPA 2964;037-096-010;924,09;12/7/2011 00:00;;;DEMOLICION TOTAL Y OBRA;COLEGIALES;COMUNA 13;1426;C1426DPD;-34.574531529682254;-58.4501125625127
393.593/2011;23/3/2011 00:00;CORREA;1711;CORREA 1711;029-086-017;62,6;26/5/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;NUÑEZ;COMUNA 13;1429;C1429DQC;-34.540428484006;-58.46549419063285
394.111/2011;23/3/2011 00:00;NAZCA;3565;NAZCA 3565;071-055-016;62,11;11/4/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;AGRONOMIA;COMUNA 15;1419;C1419DEA;-34.594504681565155;-58.494676245737836
394.384/2011;23/3/2011 00:00;PESTALOZZI;3446;PESTALOZZI 3446;063-059B-001B;26,32;28/4/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431EMB;-34.56853168349415;-58.50017704193129
394.583/2011;23/3/2011 00:00;FALCON, RAMON L.,CNEL. AV.;5571;FALCON, RAMON L.,CNEL. AV. 5571;060-097-013;1893,35;19/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA LURO;COMUNA 10;1408;C1408DRC;-34.639150375390685;-58.50514369576485
394.583/2011;23/3/2011 00:00;FALCON, RAMON L.,CNEL. AV.;5571;FALCON, RAMON L.,CNEL. AV. 5571;060-097-013;1893,35;10/7/2013 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA LURO;COMUNA 10;1408;C1408DRC;-34.639150375390685;-58.50514369576485
394.885/2011;23/3/2011 00:00;REPETTO, NICOLAS, DR.;1633;REPETTO, NICOLAS, DR. 1633;047-006-038A;1053,4;29/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1416;C1416CLK;-34.6043487638146;-58.45287061449953
395.043/2011;23/3/2011 00:00;JURAMENTO;1465;JURAMENTO 1465;025-070-017A;-;31/3/2011 00:00;;;DEMOLICION TOTAL;BELGRANO;COMUNA 13;1428;C1428DMQ;-34.5564553390332;-58.44742650782394
400.942/2011;28/3/2011 00:00;FITZ ROY;2251;FITZ ROY 2251;035-099-016;1700.72;18/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425FVC;-34.57995882690161;-58.43143549331793
401.839/2011;28/3/2011 00:00;SENILLOSA;567;SENILLOSA 567;040-129-037;4988.21;7/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;CABALLITO;COMUNA 6;1424;C1424BOK;-34.62323926155031;-58.42907449824134
405.057/2011;28/3/2011 00:00;DIRECTORIO AV.;5221;DIRECTORIO AV. 5221;062-077-009R;3396.48;13/2/2012 00:00;;;DEMOLICION TOTAL Y OBRA;MATADEROS;COMUNA 9;1440;C1440ASE;-34.652233658730644;-58.492781605408865
405.331/2011;28/3/2011 00:00;REPETTO, NICOLAS, DR.;1828;REPETTO, NICOLAS, DR. 1828;059-185-030;317.56;28/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1416;C1416CLP;-34.60269736130905;-58.45453554959594
414.894/2011;29/3/2011 00:00;ACASSUSO;7615;ACASSUSO 7615;074-006A-001B;192.51;20/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;MATADEROS;COMUNA 9;1440;C1440CMG;-34.65706584604802;-58.522675137743505
413.571/2011;29/3/2011 00:00;SARACHAGA;5568;SARACHAGA 5568;095-054-009;374.4;19/5/2011 00:00;;;OBRA NUEVA;VILLA LURO;COMUNA 10;1407;C1407EHB;-34.63444339648191;-58.50376602567063
415.978/2011;29/3/2011 00:00;VARELA, JOSE PEDRO;4903;VARELA, JOSE PEDRO 4903;087-057-027;98.28;28/4/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA DEVOTO;COMUNA 11;1417;C1417EZA;-34.611582469647864;-58.5186114145462
414.757/2011;29/3/2011 00:00;MORETO;1539;MORETO 1539;054-033B-018;97.41;12/7/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;PARQUE AVELLANEDA;COMUNA 9;1407;C1407IZE;-34.65148682014639;-58.47818078573471
416.139/2011;29/3/2011 00:00;BRAGADO;5367;BRAGADO 5367;062-081-024;473.91;23/5/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;MATADEROS;COMUNA 9;1440;C1440ACI;-34.649023380834336;-58.49756742456738
416.050/2011;29/3/2011 00:00;MERCEDES;3251;MERCEDES 3251;081-051-020;689.02;1/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA DEVOTO;COMUNA 11;1417;C1417AUW;-34.60552904007241;-58.50797959795955
416.622/2011;29/3/2011 00:00;VIAMONTE;2188;VIAMONTE 2188;009-056-015;949.64;14/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;BALVANERA;COMUNA 3;1056;C1056ABH;-34.60110187407368;-58.398365287773274
415.210/2011;29/3/2011 00:00;BARCO CENTENERA DEL;738;BARCO CENTENERA DEL 738;040-030-018;2533.00;18/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;CABALLITO;COMUNA 6;1424;C1424AMP;-34.628105405518;-58.43994538276416
